userWallet,num_transactions,num_deposit,num_borrow,num_repay,num_liquidationcall,num_redeemunderlying,total_deposit_usd,total_borrow_usd,total_repay_usd,first_tx,last_tx,deposit_to_borrow_ratio,repay_to_borrow_ratio,active_days,avg_tx_per_day
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,37,0,0,0,0,0,3.3171007704367743e+19,917402818.3810866,0.0,1621112248,1629825131,36157516676.15715,0.0,101.84355324074075,0.3633023281556008
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,2,0,0,0,0,0,1049493536.649711,0.0,0.0,1620883152,1620883236,1049493536649711.0,0.0,1.0009722222222222,1.9980574441515195
0x0003f46779806fe779e7f30eec95dbdb4d45840b,24,0,0,0,0,0,2186046136.065428,2095927039.250547,1474267220.1061497,1623421735,1630579664,1.0429972490106834,0.7033962502021595,83.84640046296296,0.2862376901987748
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,10,0,0,0,0,0,994062140.2142456,505675140.21996343,543485405.5313201,1623429689,1630516926,1.965811765596855,1.0747718491656688,83.02820601851852,0.1204409980599799
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,2,0,0,0,0,0,2.741759361949003e+21,518312732.4254524,0.0,1630396737,1630396946,5289778140542.472,0.0,1.0024189814814815,1.9951737117389647
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,6,0,0,0,0,0,3.5395717480350118e+19,2.2653259187424076e+19,2.2653259187424076e+19,1621691579,1621691955,1.5625,1.0,1.004351851851852,5.974002028210565
0x0005696d4be2359526c497fe4a4c0620b41f2426,7,0,0,0,0,0,7.356873206985615e+20,593761137.6147482,592953002.1211905,1623251602,1623307156,1239029087780.9158,0.9986389552256568,1.642986111111111,4.260535102920665
0x000660cad76200a2e326f53e033919905e6c50f5,1,0,0,0,0,0,1064852.57555633,0.0,0.0,1626365624,1626365624,1064852575556.33,0.0,1.0,1.0
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,1,0,0,0,0,0,1.1536765310394422e+18,0.0,0.0,1626953721,1626953721,1.1536765310394423e+24,0.0,1.0,1.0
0x00080000158a9930aeb508823103b0a977161c47,2,0,0,0,0,0,2.617513598912143e+18,0.0,0.0,1625790694,1626653692,2.617513598912143e+24,0.0,10.988402777777777,0.18201007375199865
0x00099b1263c22ae2ce0a52624cef2a012e751970,2,0,0,0,0,0,1.0581473433072288e+18,0.0,0.0,1626164492,1626839442,1.0581473433072288e+24,0.0,8.811921296296298,0.22696525907926707
0x0009ce45d5df78e632a0b4987079432dfba2253a,1,0,0,0,0,0,3.2446847156000052e+16,0.0,0.0,1619858543,1619858543,3.2446847156000054e+22,0.0,1.0,1.0
0x000a27ba176083e4b50177378cbe7469a00dd557,12,0,0,0,0,0,277884997.2393591,160386310.03803742,160225817.57470167,1622646973,1625514251,1.7325979827920086,0.9989993381399029,34.186087962962965,0.3510199825437979
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,43,0,0,0,0,0,1.932663909054446e+22,7.3564641652974084e+19,13381494379.508398,1622631470,1624870385,262.7164172390571,1.819011698939936e-10,26.913368055555555,1.5977190187135937
0x000ab43e658935ba39504a1424b01756c1e9644c,2,0,0,0,0,0,1.1365237938343968e+17,1.1365237938343968e+16,0.0,1628563047,1628563091,10.0,0.0,1.0005092592592593,1.9989819999074545
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,77,0,0,0,0,0,2.7351154447846054e+20,0.0,0.0,1619464130,1630114514,2.7351154447846054e+26,0.0,124.26833333333333,0.6196268826866592
0x000c8e2871750f458bf1de8ab528dda09bc95db6,4,0,0,0,0,0,5.480588573862458e+21,2.366767191230522e+21,2.366767191230522e+21,1619207671,1619207731,2.315643293590278,1.0,1.0006944444444446,3.997224149895905
